Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2023,Richmond Cement Plant,British Columbia,Cement Manufacturing,Lafarge Canada,548315.082,134.93284,593.7431,0.0,0.0,0.0,549043.7579
2023,Bath Cement Plant,Ontario,Cement Manufacturing,Lafarge Canada,707928.0043,122.5868,871.5055,0.0,0.0,0.0,708922.0966
2023,Edmonton Plant,Alberta,Cement Manufacturing,Heidelberg Materials,606283.9285,123.977364,857.679125,0.0,0.0,0.0,607265.585
2023,Lennox Generating Station,Ontario,Fossil-Fuel Electric Power Generation,OPG,94847.58,399.84,551.2,0.0,0.0,0.0,95798.62
2023,Lingan Generating Station,Nova Scotia,Fossil-Fuel Electric Power Generation,Nova Scotia Power Incorporated,1535425.239,379.022,5159.815,0.0,0.0,1364.175,1542328.251
2023,MacKay River Power Plant,Alberta,Fossil-Fuel Electric Power Generation,TransCanada Energy Ltd.,919429.9,1701.1232,5536.963,0.0,0.0,0.0,926667.9862
2023,"MacKay River, In-Situ Oil Sands Plant",Alberta,In-situ oil sands extraction,Suncor Energy Oil Sands,423873.4077,1290.617104,1299.94478,0.0,0.0,0.0,426463.9695
2023,Canadian Kraft Paper Industries Ltd.,Manitoba,Paper (except Newsprint) Mills,Canadian Kraft Paper,51568.061,5320.630952,5649.5032,0.0,0.0,0.0,62538.19515
2023,Usine de Marbleton,Quebec,Lime Manufacturing,Graymont (QC) Inc.,175066.1437,24.66828,430.8529,0.0,0.0,0.0,175521.6649
2023,McMahon Cogen Plant,British Columbia,Fossil-Fuel Electric Power Generation,McMahon Cogen Plant,535853.66,1054.503156,3537.62492,0.0,0.0,0.0,540445.7881
2023,McMahon Gas Plant,British Columbia,Oil and gas extraction (except oil sands),McMahon Gas Plant,105478.4158,4014.9102,135.36836,0.0,0.0,0.0,109628.6944
2023,Meridian Cogeneration Plant,Saskatchewan,Fossil-Fuel Electric Power Generation,Meridian Limited Partnership,889121.1305,6382.19036,6011.314855,0.0,0.0,0.0,901514.6357
2023,Mildred Lake and Aurora Plant Sites,Alberta,Mined oil sands extraction,Mildred Lake and Aurora Plant Sites,13216450.41,379573.012,60598.55488,4805.8127,0.0,0.0,13661427.79
2023,Mine de Mont-Wright,Quebec,Iron Ore Mining,ArcelorMittal Mining Canada G.P.,250073.041,368.7656,24454.306,0.0,0.0,0.0,274896.1126
2023,Mississauga Lubricants Centre,Ontario,Other Petroleum and Coal Products Manufacturing,Petro-Canada Lubricants Inc.,435173.0522,2175.940116,2068.02078,0.0,0.0,0.0,439417.0131
2023,Mississauga Cement Plant,Ontario,Cement Manufacturing,CRH Canada Group Inc.,984276.5745,3237.6288,2331.046,0.0,0.0,0.0,989845.2493
2023,Mohawk Street Landfill,Ontario,Waste Treatment and Disposal,The Corporation of the City of Brantford,539.291193,127991.1055,6.40187,0.0,0.0,0.0,128536.7986
2023,Mosaic Potash Belle Plaine,Saskatchewan,Potash Mining,Mosaic Potash Belle Plaine,681455.4548,3639.412,4073.58,0.0,0.0,0.0,689168.4468
2023,Muskeg River Cogeneration Plant,Alberta,Fossil-Fuel Electric Power Generation,Heartland Generation,1371602.197,2131.6372,6919.5475,0.0,0.0,0.0,1380653.382
2023,Imperial Oil Nanticoke Refinery,Ontario,Petroleum Refineries,Imperial Oil,1114107.205,7883.386,4156.4985,0.0,0.0,0.0,1126147.089
2023,Nipigon Power Plant,Ontario,Fossil-Fuel Electric Power Generation,Nipigon Power Plant,358.1451,1.48526,2.085285,0.0,0.0,0.0,361.715645
2023,Norman Wells Central Processing Facility,Northwest Territories,Oil and gas extraction (except oil sands),Imperial Oil Resources N.W.T. Limited,78343.75384,898.050132,500.67086,0.0,0.0,0.0,79742.47484
2023,Braya Renewable Fuels (Newfoundland) LP,Newfoundland and Labrador,Other Basic Organic Chemical Manufacturing,Braya Renewable Fuels,23627.0,12.0694,446.63895,0.0,0.0,0.0,24085.70835
2023,Northwood Pulp Mill,British Columbia,Chemical Pulp Mills,Northwood Pulp Mill,258670.4,2410.6852,9088.8905,0.0,0.0,0.0,270169.9757
2023,Corunna Site,Ontario,Petrochemical Manufacturing,NOVA Chemicals,829636.0818,4742.1724,6155.526,0.0,0.0,0.0,840533.7802
2023,INEOS Styrolution,Ontario,Petrochemical Manufacturing,INEOS Styrolution Canada Ltd.,91378.4925,736.0864,334.5625,326.43,0.0,0.0,92775.5714
